Colony_ID,Ind_ant,Site,Date,CTmax_C,Treatment,Collection_date,Worker_count,Winter_days
5980,H,R1,20220502,48.5,Rural,Late,31,34
5980,I,R1,20220502,48.5,Rural,Late,31,34
5980,J,R1,20220502,45.5,Rural,Late,31,34
2702,A,U2,20220502,48,Urban,Late,115,34
2702,B,U2,20220502,47,Urban,Late,115,34
2702,C,U2,20220502,49,Urban,Late,115,34
2702,D,U2,20220502,43,Urban,Late,115,34
2702,E,U2,20220502,49,Urban,Late,115,34
2702,F,U2,20220502,49,Urban,Late,115,34
2702,G,U2,20220502,49,Urban,Late,115,34
2702,H,U2,20220502,48,Urban,Late,115,34
2702,I,U2,20220502,48.5,Urban,Late,115,34
2702,J,U2,20220502,44,Urban,Late,115,34
